"time","IDs","migrant"
14600,2,"21"
14600,4,"21"
14600,16,"21"
14600,22,"21"
14600,32,"21"
14600,37,"21"
14600,41,"21"
14600,42,"21"
14600,46,"21"
14600,47,"21"
14600,48,"21"
14600,49,"21"
14600,55,"21"
14600,63,"21"
14600,64,"21"
14600,71,"21"
14600,77,"21"
14600,85,"21"
14600,92,"21"
14600,95,"21"
14600,96,"21"
14600,99,"21"
14600,100,"21"
14600,107,"21"
14600,111,"21"
14600,116,"21"
14600,119,"21"
14600,122,"21"
14600,123,"21"
14600,131,"21"
14600,133,"21"
14600,145,"21"
14600,154,"21"
14600,179,"21"
14600,184,"21"
14600,187,"21"
14600,202,"21"
14600,222,"21"
14600,227,"21"
14600,230,"21"
14600,233,"21"
14600,236,"21"
14600,237,"21"
14600,239,"21"
14600,246,"21"
14600,268,"21"
14600,271,"21"
14600,274,"21"
14600,283,"21"
14600,291,"21"
14600,293,"21"
14600,295,"21"
14600,322,"21"
14600,329,"21"
14600,331,"21"
14600,334,"21"
14600,336,"21"
14600,340,"21"
14600,341,"21"
14600,351,"21"
14600,355,"21"
14600,371,"21"
14600,372,"21"
14600,376,"21"
14600,381,"21"
14600,387,"21"
14600,390,"21"
14600,392,"21"
14600,397,"21"
14600,407,"21"
14600,411,"21"
14600,414,"21"
14600,416,"21"
14600,423,"21"
14600,424,"21"
14600,428,"21"
14600,431,"21"
14600,442,"21"
14600,445,"21"
14600,447,"21"
14600,456,"21"
14600,466,"21"
14600,471,"21"
14600,477,"21"
14600,479,"21"
14600,483,"21"
14600,484,"21"
14600,487,"21"
14600,496,"21"
14600,508,"21"
14600,515,"21"
14600,517,"21"
14600,530,"21"
14600,533,"21"
14600,534,"21"
14600,536,"21"
14600,537,"21"
14600,540,"21"
14600,545,"21"
14600,546,"21"
14600,553,"21"
14600,556,"21"
14600,567,"21"
14600,569,"21"
14600,570,"21"
14600,595,"21"
14600,597,"21"
14600,601,"21"
14600,604,"21"
14600,606,"21"
14600,622,"21"
14600,629,"21"
14600,633,"21"
14600,637,"21"
14600,641,"21"
14600,643,"21"
14600,646,"21"
14600,648,"21"
14600,660,"21"
14600,665,"21"
14600,671,"21"
14600,678,"21"
14600,679,"21"
14600,683,"21"
14600,684,"21"
14600,686,"21"
14600,695,"21"
14600,698,"21"
14600,704,"21"
14600,706,"21"
14600,710,"21"
14600,712,"21"
14600,713,"21"
14600,715,"21"
14600,716,"21"
14600,719,"21"
14600,727,"21"
14600,742,"21"
14600,751,"21"
14600,764,"21"
14600,766,"21"
14600,768,"21"
14600,777,"21"
14600,792,"21"
14600,815,"21"
14600,829,"21"
14600,838,"21"
14600,852,"21"
14600,856,"21"
14600,861,"21"
14600,865,"21"
14600,867,"21"
14600,873,"21"
14600,882,"21"
14600,889,"21"
14600,896,"21"
14600,898,"21"
14600,902,"21"
14600,904,"21"
14600,914,"21"
14600,934,"21"
14600,936,"21"
14600,938,"21"
14600,942,"21"
14600,943,"21"
14600,945,"21"
14600,947,"21"
14600,948,"21"
14600,950,"21"
14600,955,"21"
14600,975,"21"
14600,982,"21"
14600,986,"21"
14600,987,"21"
14600,993,"21"
14600,994,"21"
14600,996,"21"
14600,998,"21"
14600,1004,"21"
14600,1015,"21"
14600,1018,"21"
14600,1025,"21"
14600,1027,"21"
14600,1033,"21"
14600,1041,"21"
14600,1043,"21"
14600,1044,"21"
14600,1047,"21"
14600,1048,"21"
14600,1049,"21"
14600,1058,"21"
14600,1059,"21"
14600,1060,"21"
14600,1062,"21"
14600,1064,"21"
14600,1072,"21"
14600,1079,"21"
14600,1082,"21"
14600,1088,"21"
14600,1090,"21"
14600,1093,"21"
14600,1097,"21"
14600,1099,"21"
14600,1100,"21"
14600,1107,"21"
14600,1109,"21"
14600,1112,"21"
14600,1116,"21"
14600,1119,"21"
14600,1120,"21"
14600,1125,"21"
14600,1136,"21"
14600,1137,"21"
14600,1139,"21"
14600,1152,"21"
14600,1156,"21"
14600,1159,"21"
14600,1186,"21"
14600,1188,"21"
14600,1206,"21"
14600,1220,"21"
14600,1224,"21"
14600,1226,"21"
14600,1231,"21"
14600,1235,"21"
14600,1238,"21"
14600,1239,"21"
14600,1241,"21"
14600,1242,"21"
14600,1247,"21"
14600,1250,"21"
14600,1251,"21"
14600,1252,"21"
14600,1254,"21"
14600,1255,"21"
14600,1269,"21"
14600,1271,"21"
14600,1274,"21"
14600,1282,"21"
14600,1295,"21"
14600,1301,"21"
14600,1303,"21"
14600,1309,"21"
14600,1318,"21"
14600,1320,"21"
14600,1328,"21"
14600,1330,"21"
14600,1334,"21"
14600,1335,"21"
14600,1346,"21"
14600,1347,"21"
14600,1354,"21"
14600,1362,"21"
14600,1365,"21"
14600,1371,"21"
14600,1381,"21"
14600,1386,"21"
14600,1389,"21"
14600,1396,"21"
14600,1403,"21"
14600,1407,"21"
14600,1415,"21"
14600,1423,"21"
14600,1430,"21"
14600,1437,"21"
14600,1438,"21"
14600,1445,"21"
14600,1453,"21"
14600,1457,"21"
14600,1458,"21"
14600,1463,"21"
14600,1471,"21"
14600,1474,"21"
14600,1493,"21"
14600,1494,"21"
14600,1498,"21"
14600,1500,"21"
14600,1501,"21"
14600,1505,"21"
14600,1507,"21"
14600,1511,"21"
14600,1519,"21"
14600,1522,"21"
14600,1524,"21"
14600,1525,"21"
14600,1528,"21"
14600,1538,"21"
14600,1545,"21"
14600,1547,"21"
14600,1548,"21"
14600,1558,"21"
14600,1564,"21"
14600,1565,"21"
14600,1567,"21"
14600,1586,"21"
14600,1587,"21"
14600,1598,"21"
14600,1603,"21"
14600,1605,"21"
14600,1606,"21"
14600,1607,"21"
14600,1616,"21"
14600,1625,"21"
14600,1627,"21"
14600,1633,"21"
14600,1638,"21"
14600,1640,"21"
14600,1641,"21"
14600,1646,"21"
14600,1649,"21"
14600,1660,"21"
14600,1663,"21"
14600,1664,"21"
14600,1670,"21"
14600,1686,"21"
14600,1687,"21"
14600,1690,"21"
14600,1691,"21"
14600,1692,"21"
14600,1693,"21"
14600,1694,"21"
14600,1697,"21"
14600,1702,"21"
14600,1704,"21"
14600,1710,"21"
14600,1714,"21"
14600,1725,"21"
14600,1726,"21"
14600,1733,"21"
14600,1741,"21"
14600,1745,"21"
14600,1749,"21"
14600,1755,"21"
14600,1762,"21"
14600,1773,"21"
14600,1784,"21"
14600,1805,"21"
14600,1807,"21"
14600,1808,"21"
14600,1809,"21"
14600,1813,"21"
14600,1815,"21"
14600,1819,"21"
14600,1821,"21"
14600,1824,"21"
14600,1829,"21"
14600,1831,"21"
14600,1832,"21"
14600,1834,"21"
14600,1843,"21"
14600,1853,"21"
14600,1858,"21"
14600,1861,"21"
14600,1867,"21"
14600,1868,"21"
14600,1871,"21"
14600,1873,"21"
14600,1876,"21"
14600,1891,"21"
14600,1892,"21"
14600,1899,"21"
14600,1900,"21"
14600,1904,"21"
14600,1905,"21"
14600,1911,"21"
14600,1916,"21"
14600,1921,"21"
14600,1926,"21"
14600,1932,"21"
14600,1937,"21"
14600,1939,"21"
14600,1940,"21"
14600,1945,"21"
14600,1947,"21"
14600,1952,"21"
14600,1953,"21"
14600,1957,"21"
14600,1958,"21"
14600,1961,"21"
14600,1964,"21"
14600,1967,"21"
14600,1975,"21"
14600,1976,"21"
14600,1998,"21"
14600,2006,"21"
14600,2009,"21"
14600,2015,"21"
14600,2016,"21"
14600,2017,"21"
14600,2020,"21"
14600,2024,"21"
14600,2028,"21"
14600,2049,"21"
14600,2058,"21"
14600,2060,"21"
14600,2061,"21"
14600,2062,"21"
14600,2064,"21"
14600,2067,"21"
14600,2076,"21"
14600,2081,"21"
14600,2083,"21"
14600,2086,"21"
14600,2087,"21"
14600,2088,"21"
14600,2100,"21"
14600,2110,"21"
14600,2113,"21"
14600,2122,"21"
14600,2123,"21"
14600,2128,"21"
14600,2132,"21"
14600,2136,"21"
14600,2137,"21"
14600,2139,"21"
14600,2140,"21"
14600,2145,"21"
14600,2151,"21"
14600,2152,"21"
14600,2155,"21"
14600,2156,"21"
14600,2160,"21"
14600,2169,"21"
14600,2179,"21"
14600,2196,"21"
14600,2212,"21"
14600,2218,"21"
14600,2224,"21"
14600,2225,"21"
14600,2227,"21"
14600,2233,"21"
14600,2256,"21"
14600,2273,"21"
14600,2279,"21"
14600,2293,"21"
14600,2297,"21"
14600,2302,"21"
14600,2309,"21"
14600,2320,"21"
14600,2321,"21"
14600,2324,"21"
14600,2334,"21"
14600,2335,"21"
14600,2339,"21"
14600,2341,"21"
14600,2352,"21"
14600,2357,"21"
14600,2360,"21"
14600,2361,"21"
14600,2363,"21"
14600,2367,"21"
14600,2368,"21"
14600,2369,"21"
14600,2378,"21"
14600,2400,"21"
14600,2411,"21"
14600,2413,"21"
14600,2414,"21"
14600,2416,"21"
14600,2424,"21"
14600,2426,"21"
14600,2434,"21"
14600,2437,"21"
14600,2438,"21"
14600,2449,"21"
14600,2452,"21"
14600,2455,"21"
14600,2465,"21"
14600,2470,"21"
14600,2475,"21"
14600,2476,"21"
14600,2477,"21"
14600,2482,"21"
14600,2486,"21"
14600,2494,"21"
14600,2495,"21"
14600,2498,"21"
14600,2499,"21"
14600,2500,"21"
14600,2506,"21"
14600,2507,"21"
14600,2515,"21"
14600,2523,"21"
14600,2524,"21"
14600,2540,"21"
14600,2541,"21"
14600,2543,"21"
14600,2546,"21"
14600,2548,"21"
14600,2555,"21"
14600,2556,"21"
14600,2564,"21"
14600,2565,"21"
14600,2580,"21"
14600,2584,"21"
14600,2587,"21"
14600,2593,"21"
14600,2595,"21"
14600,2599,"21"
14600,2612,"21"
14600,2618,"21"
14600,2619,"21"
14600,2621,"21"
14600,2622,"21"
14600,2624,"21"
14600,2628,"21"
14600,2631,"21"
14600,2632,"21"
14600,2637,"21"
14600,2638,"21"
14600,2639,"21"
14600,2640,"21"
14600,2647,"21"
14600,2650,"21"
14600,2651,"21"
14600,2652,"21"
14600,2653,"21"
14600,2658,"21"
14600,2659,"21"
14600,2663,"21"
14600,2664,"21"
14600,2673,"21"
14600,2674,"21"
14600,2677,"21"
14600,2680,"21"
14600,2687,"21"
14600,2701,"21"
14600,2703,"21"
14600,2704,"21"
14600,2709,"21"
14600,2710,"21"
14600,2713,"21"
14600,2731,"21"
14600,2735,"21"
14600,2739,"21"
14600,2743,"21"
14600,2746,"21"
14600,2748,"21"
14600,2753,"21"
14600,2754,"21"
14600,2755,"21"
14600,2756,"21"
14600,2759,"21"
14600,2765,"21"
14600,2766,"21"
14600,2770,"21"
14600,2772,"21"
14600,2776,"21"
14600,2780,"21"
14600,2781,"21"
14600,2785,"21"
14600,2786,"21"
14600,2797,"21"
14600,2802,"21"
14600,2816,"21"
14600,2819,"21"
14600,2820,"21"
14600,2828,"21"
14600,2830,"21"
14600,2832,"21"
14600,2835,"21"
14600,2839,"21"
14600,2845,"21"
14600,2849,"21"
14600,2862,"21"
14600,2878,"21"
14600,2881,"21"
14600,2892,"21"
14600,2907,"21"
14600,2911,"21"
14600,2926,"21"
14600,2928,"21"
14600,2931,"21"
14600,2932,"21"
14600,2933,"21"
14600,2936,"21"
14600,2938,"21"
14600,2940,"21"
14600,2946,"21"
14600,2948,"21"
14600,2949,"21"
14600,2950,"21"
14600,2964,"21"
14600,2976,"21"
14600,2979,"21"
14600,2986,"21"
14600,2993,"21"
14600,3003,"21"
14600,3004,"21"
14600,3006,"21"
14600,3007,"21"
14600,3012,"21"
14600,3014,"21"
14600,3015,"21"
14600,3016,"21"
14600,3019,"21"
14600,3020,"21"
14600,3021,"21"
14600,3025,"21"
14600,3026,"21"
14600,3027,"21"
14600,3028,"21"
14600,3031,"21"
14600,3032,"21"
14600,3034,"21"
14600,3035,"21"
14600,3037,"21"
14600,3038,"21"
14600,3040,"21"
14600,3041,"21"
14600,3042,"21"
14600,3043,"21"
14600,3047,"21"
14600,3049,"21"
14600,3053,"21"
14600,3054,"21"
14600,3057,"21"
14600,3059,"21"
14600,3060,"21"
14600,3061,"21"
14600,3062,"21"
14600,3064,"21"
14600,3065,"21"
14600,3066,"21"
14600,3071,"21"
14600,3073,"21"
14600,3076,"21"
14600,3078,"21"
14600,3079,"21"
14600,3084,"21"
14600,3085,"21"
14600,3086,"21"
14600,3088,"21"
14600,3092,"21"
14600,3093,"21"
14600,3097,"21"
14600,3099,"21"
14600,3103,"21"
14600,3104,"21"
14600,3105,"21"
14600,3109,"21"
14600,3110,"21"
14600,3112,"21"
14600,3113,"21"
14600,3114,"21"
14600,3117,"21"
14600,3118,"21"
14600,3119,"21"
14600,3121,"21"
14600,3123,"21"
14600,3125,"21"
14600,3127,"21"
14600,3128,"21"
14600,3130,"21"
14600,3133,"21"
14600,3135,"21"
14600,3136,"21"
14600,3137,"21"
14600,3138,"21"
14600,3140,"21"
14600,3141,"21"
14600,3142,"21"
14600,3145,"21"
14600,3148,"21"
14600,3152,"21"
14600,3153,"21"
14600,3154,"21"
14600,3157,"21"
14600,3163,"21"
14600,3164,"21"
14600,3169,"21"
14600,3171,"21"
14600,3172,"21"
14600,3173,"21"
14600,3174,"21"
14600,3179,"21"
14600,3182,"21"
14600,3184,"21"
14600,3185,"21"
14600,3186,"21"
14600,3189,"21"
14600,3190,"21"
14600,3193,"21"
14600,3197,"21"
14600,3198,"21"
14600,3201,"21"
14600,3202,"21"
14600,3203,"21"
14600,3204,"21"
14600,3205,"21"
14600,3207,"21"
14600,3208,"21"
14600,3209,"21"
14600,3215,"21"
14600,3218,"21"
14600,3220,"21"
14600,3221,"21"
14600,3223,"21"
14600,3224,"21"
14600,3225,"21"
14600,3227,"21"
14600,3228,"21"
14600,3230,"21"
14600,3231,"21"
14600,3232,"21"
14600,3233,"21"
14600,3236,"21"
14600,3237,"21"
14600,3241,"21"
14600,3245,"21"
14600,3246,"21"
14600,3248,"21"
14600,3249,"21"
14600,3254,"21"
14600,3257,"21"
14600,3258,"21"
14600,3263,"21"
14600,3265,"21"
14600,3266,"21"
14600,3270,"21"
14600,3271,"21"
14600,3274,"21"
14600,3281,"21"
14600,3283,"21"
14600,3285,"21"
14600,3287,"21"
14600,3293,"21"
14600,3295,"21"
14600,3299,"21"
14600,3300,"21"
14600,3303,"21"
14600,3304,"21"
14600,3307,"21"
14600,3309,"21"
14600,3310,"21"
14600,3311,"21"
14600,3314,"21"
14600,3315,"21"
14600,3318,"21"
14600,3319,"21"
14600,3321,"21"
14600,3322,"21"
14600,3324,"21"
14600,3325,"21"
14600,3326,"21"
14600,3327,"21"
14600,3328,"21"
14600,3331,"21"
14600,3332,"21"
14600,3335,"21"
14600,3338,"21"
14600,3339,"21"
14600,3340,"21"
14600,3341,"21"
14600,3350,"21"
14600,3351,"21"
14600,3352,"21"
14600,3353,"21"
14600,3358,"21"
14600,3360,"21"
14600,3361,"21"
14600,3365,"21"
14600,3370,"21"
14600,3373,"21"
14600,3375,"21"
14600,3376,"21"
14600,3378,"21"
14600,3381,"21"
14600,3385,"21"
14600,3387,"21"
14600,3388,"21"
14600,3391,"21"
14600,3392,"21"
14600,3393,"21"
14600,3395,"21"
14600,3396,"21"
14600,3400,"21"
14600,3402,"21"
14600,3405,"21"
14600,3407,"21"
14600,3409,"21"
14600,3410,"21"
14600,3411,"21"
14600,3412,"21"
14600,3413,"21"
14600,3414,"21"
14600,3416,"21"
14600,3418,"21"
14600,3419,"21"
14600,3422,"21"
14600,3425,"21"
14600,3428,"21"
14600,3433,"21"
14600,3434,"21"
14600,3435,"21"
14600,3439,"21"
14600,3440,"21"
14600,3443,"21"
14600,3445,"21"
14600,3446,"21"
14600,3449,"21"
14600,3450,"21"
14600,3452,"21"
14600,3453,"21"
14600,3454,"21"
14600,3455,"21"
14600,3456,"21"
14600,3458,"21"
14600,3460,"21"
14600,3466,"21"
14600,3467,"21"
14600,3469,"21"
14600,3470,"21"
14600,3473,"21"
14600,3475,"21"
14600,3476,"21"
14600,3479,"21"
14600,3480,"21"
14600,3484,"21"
14600,3486,"21"
14600,3487,"21"
14600,3492,"21"
14600,3495,"21"
14600,3497,"21"
14600,3501,"21"
14600,3502,"21"
14600,3504,"21"
14600,3505,"21"
14600,3507,"21"
14600,3508,"21"
14600,3509,"21"
14600,3510,"21"
14600,3512,"21"
14600,3516,"21"
14600,3517,"21"
14600,3520,"21"
14600,3522,"21"
14600,3524,"21"
14600,3525,"21"
14600,3529,"21"
14600,3530,"21"
14600,3534,"21"
14600,3536,"21"
14600,3538,"21"
14600,3541,"21"
14600,3544,"21"
14600,3545,"21"
14600,3546,"21"
14600,3548,"21"
14600,3549,"21"
14600,3550,"21"
14600,3559,"21"
14600,3563,"21"
14600,3565,"21"
14600,3566,"21"
14600,3568,"21"
14600,3570,"21"
14600,3573,"21"
14600,3575,"21"
14600,3577,"21"
14600,3578,"21"
14600,3581,"21"
14600,3582,"21"
14600,3583,"21"
14600,3585,"21"
14600,3586,"21"
14600,3587,"21"
14600,3588,"21"
14600,3591,"21"
14600,3592,"21"
14600,3593,"21"
14600,3594,"21"
14600,3595,"21"
14600,3597,"21"
14600,3598,"21"
14600,3599,"21"
14600,3602,"21"
14600,3603,"21"
14600,3608,"21"
14600,3612,"21"
14600,3614,"21"
14600,3616,"21"
14600,3618,"21"
14600,3620,"21"
14600,3623,"21"
14600,3624,"21"
14600,3629,"21"
14600,3632,"21"
14600,3634,"21"
14600,3637,"21"
14600,3639,"21"
14600,3642,"21"
14600,3643,"21"
14600,3645,"21"
14600,3649,"21"
14600,3650,"21"
14600,3651,"21"
14600,3652,"21"
14600,3656,"21"
14600,3659,"21"
14600,3660,"21"
14600,3664,"21"
14600,3666,"21"
14600,3671,"21"
14600,3672,"21"
14600,3675,"21"
14600,3679,"21"
14600,3680,"21"
14600,3681,"21"
14600,3683,"21"
14600,3685,"21"
14600,3689,"21"
14600,3690,"21"
14600,3694,"21"
14600,3695,"21"
14600,3701,"21"
14600,3703,"21"
14600,3704,"21"
14600,3706,"21"
14600,3707,"21"
14600,3708,"21"
14600,3709,"21"
14600,3712,"21"
14600,3719,"21"
14600,3721,"21"
14600,3726,"21"
14600,3727,"21"
14600,3733,"21"
14600,3734,"21"
14600,3735,"21"
14600,3739,"21"
14600,3742,"21"
14600,3745,"21"
14600,3747,"21"
14600,3748,"21"
14600,3752,"21"
14600,3754,"21"
14600,3755,"21"
14600,3756,"21"
14600,3757,"21"
14600,3758,"21"
14600,3759,"21"
14600,3763,"21"
14600,3764,"21"
14600,3767,"21"
14600,3771,"21"
14600,3773,"21"
14600,3774,"21"
14600,3775,"21"
14600,3777,"21"
14600,3778,"21"
14600,3781,"21"
14600,3782,"21"
14600,3784,"21"
14600,3785,"21"
14600,3787,"21"
14600,3792,"21"
14600,3793,"21"
14600,3794,"21"
14600,3795,"21"
14600,3796,"21"
14600,3797,"21"
14600,3801,"21"
14600,3802,"21"
14600,3803,"21"
14600,3805,"21"
14600,3806,"21"
14600,3811,"21"
14600,3812,"21"
14600,3813,"21"
14600,3814,"21"
14600,3815,"21"
14600,3817,"21"
14600,3822,"21"
14600,3823,"21"
14600,3827,"21"
14600,3829,"21"
14600,3830,"21"
14600,3833,"21"
14600,3834,"21"
14600,3835,"21"
14600,3836,"21"
14600,3838,"21"
14600,3839,"21"
14600,3840,"21"
14600,3841,"21"
14600,3842,"21"
14600,3843,"21"
14600,3846,"21"
14600,3847,"21"
14600,3848,"21"
14600,3851,"21"
14600,3853,"21"
14600,3855,"21"
14600,3860,"21"
14600,3871,"21"
14600,3872,"21"
14600,3874,"21"
14600,3875,"21"
14600,3879,"21"
14600,3881,"21"
14600,3883,"21"
14600,3885,"21"
14600,3886,"21"
14600,3888,"21"
14600,3893,"21"
14600,3894,"21"
14600,3895,"21"
14600,3898,"21"
14600,3899,"21"
14600,3903,"21"
14600,3906,"21"
14600,3907,"21"
14600,3911,"21"
14600,3912,"21"
14600,3915,"21"
14600,3917,"21"
14600,3923,"21"
14600,3925,"21"
14600,3926,"21"
14600,3929,"21"
14600,3930,"21"
14600,3931,"21"
14600,3934,"21"
14600,3935,"21"
14600,3939,"21"
14600,3941,"21"
14600,3943,"21"
14600,3947,"21"
14600,3956,"21"
14600,3958,"21"
14600,3959,"21"
14600,3960,"21"
14600,3961,"21"
14600,3962,"21"
14600,3963,"21"
14600,3968,"21"
14600,3969,"21"
14600,3970,"21"
14600,3971,"21"
14600,3973,"21"
14600,3975,"21"
14600,3977,"21"
14600,3978,"21"
14600,3980,"21"
14600,3982,"21"
14600,3985,"21"
14600,3993,"21"
14600,3995,"21"
14600,3998,"21"
14600,4000,"21"
14600,4002,"21"
14600,4005,"21"
14600,4006,"21"
14600,4007,"21"
14600,4009,"21"
14600,4011,"21"
14600,4014,"21"
14600,4017,"21"
14600,4018,"21"
14600,4020,"21"
14600,4021,"21"
14600,4023,"21"
14600,4025,"21"
14600,4026,"21"
14600,4027,"21"
14600,4030,"21"
14600,4033,"21"
14600,4038,"21"
14600,4041,"21"
14600,4042,"21"
14600,4044,"21"
14600,4046,"21"
14600,4047,"21"
14600,4049,"21"
14600,4050,"21"
14600,4053,"21"
14600,4056,"21"
14600,4057,"21"
14600,4059,"21"
14600,4060,"21"
14600,4066,"21"
14600,4067,"21"
14600,4069,"21"
14600,4071,"21"
14600,4073,"21"
14600,4074,"21"
14600,4076,"21"
14600,4079,"21"
14600,4080,"21"
14600,4082,"21"
14600,4083,"21"
14600,4084,"21"
